iteration,kDOC,kA,lA,pA,hA,mA,decay,cA,v,rec,SSE
result.60,0.731841677,0.00380846,0.193714426,1.017616932,58.37265261,4.022423038,0.008082078,0.015207237,0.022649679,0.25491978,68661698.52
result.61,0.350124249,0.003157943,0.245163967,1.577613921,65.61360745,7.391403111,0.004272464,0.009114537,0.024279083,0.671580282,56825982.72
result.62,0.207320546,0.004754599,0.235988731,1.315315268,81.07537156,6.487709948,0.006587029,0.01208789,0.029119568,0.968507892,60056994.24
result.63,0.708621609,0.00215166,0.066725782,0.190787665,45.00131862,1.0646802,0.000942761,0.00750032,0.042237881,0.305059733,74413579.03
result.64,0.493267039,0.004491639,0.106315485,1.299720262,28.95839114,5.469910331,0.007483337,0.006730845,0.005037952,0.30369965,59633688.8
result.65,0.628636323,0.000214221,0.148386469,1.776138587,44.17443441,9.542823734,0.00665391,0.013631284,0.017524457,0.65603946,63493073.95
result.66,0.360680719,0.002773119,0.015720277,1.7091568,28.64170529,5.718746254,0.00066117,0.016637108,0.007208545,0.268412808,67798865.89
result.67,0.779009249,0.001797598,0.088385432,0.761940108,60.70071341,6.069290233,0.000667205,0.008058818,0.007693091,0.234290424,67785574.34
result.68,0.493814894,0.001460709,0.22768521,0.323974694,32.71635981,5.515141984,0.001103713,0.008147196,0.019924568,0.795414679,74465267.25
result.69,0.309848804,0.000672073,0.1990173,1.785977094,61.56788731,1.035561976,0.004182273,0.016378819,0.009204689,0.676650403,63779322.02
result.70,0.695454084,0.004948999,0.170588007,1.636392976,45.62308976,3.772795839,0.002545297,0.022779767,0.00713675,0.856745731,61927098.88
result.71,0.744470835,0.003943076,0.253696307,1.882218074,56.67843468,6.07915163,0.002605628,0.016186476,0.003809611,0.204157857,69118953.16
result.72,0.739230355,0.000940334,0.040621546,1.776993741,81.34023933,3.294956666,0.009766677,0.015436341,0.005507286,0.240873499,67289209.1
result.73,0.458164732,0.003248469,0.099270704,0.471059061,89.15451128,8.812879942,0.003288104,0.013758803,0.009690559,0.778062147,71641969.66
result.74,0.561170406,0.002556433,0.081269833,0.758938385,42.47603465,9.360696468,0.000488231,0.019362683,0.00832596,0.94537692,64039978.18
result.75,0.461162572,0.001062365,0.155464129,0.750618118,37.81260492,5.32858884,0.006771129,0.008733552,0.037947997,0.392857682,61129917.99
result.76,0.111502973,0.00021284,0.278586159,0.773630572,54.56899881,6.965348503,0.008946134,0.012830683,0.03278898,0.510626853,64690580.59
result.77,0.658125146,0.00374774,0.159387309,1.560278584,40.78334322,3.061502571,0.001149827,0.021240484,0.030061462,0.29393875,68941913.74
result.78,0.117114171,0.003774828,0.195916633,1.731582982,42.10738804,8.559487909,0.00394858,0.012116735,0.01613167,0.855753474,50336803.05
result.79,0.261057983,0.003339767,0.103258392,0.239797417,53.94223178,3.131846869,0.008146565,0.016609042,0.015313419,0.520878623,71267379.81
result.80,0.403730955,0.002750418,0.191840854,1.368490753,35.08712327,2.502710857,0.003205402,0.008170283,0.011678633,0.226462957,62050528.29
result.81,0.468283736,0.004539042,0.08537995,1.751247184,51.34969423,4.264045135,0.005785441,0.022221687,0.021830325,0.779681119,61602123.4
result.82,0.166553398,0.000250651,0.115722212,1.742179632,98.74923009,7.6196859,0.001553951,0.024724819,0.003706694,0.246628792,69390599.66
result.83,0.718821355,0.002410008,0.228861716,1.320812807,22.07691574,7.470631149,0.001145743,0.016391961,0.017679237,0.804127044,62464730.58
result.84,0.312687839,0.004870883,0.02594744,1.295356342,39.75000037,4.323528133,0.008007815,0.021784464,0.017743319,0.339866512,68645739.45
result.85,0.219590261,0.004398776,0.130665171,1.020024108,80.60265558,8.56946493,0.005669814,0.006224169,0.007979968,0.983711163,61700922.05
result.86,0.527027511,0.001494847,0.105452533,0.672861676,63.44132898,8.980292731,0.00989345,0.012359809,0.007345402,0.588242774,61995311.08
result.87,0.062220297,0.000496311,0.029603132,1.221086483,92.45566078,1.525557367,0.009978457,0.010577183,0.028283749,0.31075524,65182236.71
result.88,0.665662677,0.003968001,0.281422981,1.819767205,60.64322602,4.561293633,0.001387582,0.008634797,0.038370129,0.425518775,66805466.8
result.89,0.328596015,0.001435945,0.041330657,1.637721189,55.92194749,8.993276211,0.00828738,0.014254361,0.026409795,0.795417499,59920711.33
result.90,0.655607758,0.004136961,0.065503152,1.407852206,20.37744882,0.618159979,0.002974898,0.019946233,0.023021238,0.528552512,66152083.71
result.91,0.693039124,0.003441271,0.159492121,1.344457714,99.50696584,8.789823759,0.00148676,0.015217547,0.001809064,0.296929498,69889540.25
result.92,0.31902557,0.003202059,0.0152002,1.412026758,84.1722928,0.713737365,0.007804106,0.020027965,0.029271,0.731860217,65871357.12
result.93,0.108505343,0.00213435,0.054204611,1.869038713,37.41938271,6.856956554,0.000829892,0.023550842,0.024486938,0.248128641,69305470.23
result.94,0.768033728,0.001109195,0.03945645,1.275459978,70.27096145,3.807109426,0.0029681,0.021150072,0.039915114,0.516686976,67425211.55
result.95,0.101267517,0.002934006,0.040270777,1.384397767,88.98879159,0.570607307,0.006811421,0.014732179,0.02885534,0.663104199,61955230.66
result.96,0.184207704,0.000171444,0.129899292,0.711125243,70.15633276,3.301822083,0.003947003,0.019918038,0.003351368,0.420247358,67234699.58
result.97,0.15384221,0.004064616,0.104571407,0.29719828,56.08212946,4.628799285,0.003700528,0.014476201,0.007309871,0.807030246,70568223.52
result.98,0.408318907,0.004911683,0.223750061,0.95140397,62.30761042,8.395461692,0.001925357,0.016723011,0.046191259,0.730973511,70428212.22
result.99,0.327268495,0.001173075,0.110009979,1.575690327,99.28223046,0.611437685,0.003072265,0.013018771,0.028147228,0.213448613,66579244.29
result.100,0.740178576,0.001315874,0.264151235,0.814691698,88.59950325,6.935804194,0.009052652,0.007338218,0.034249962,0.248637296,67718399.32
result.101,0.659116219,0.00489115,0.131122105,1.185556643,41.32348113,6.429425035,0.00733853,0.016599697,0.020645178,0.963249789,61376221.23
result.102,0.562157821,0.000507023,0.028067446,1.916013981,63.40310445,5.855749991,0.00934205,0.017436185,0.027795844,0.860002864,61320351.18
result.103,0.501004706,0.003380266,0.156186026,1.072770838,84.17873586,1.931480631,0.008916301,0.015162114,0.017488366,0.23782489,67447101.68
result.104,0.414480145,0.000421388,0.124408835,0.758370506,21.84483221,3.019023692,0.00326882,0.018985701,0.030833853,0.308874619,67995595.04
result.105,0.493433189,0.003296897,0.271507444,1.556875261,27.93299565,7.929822291,0.004386442,0.011901436,0.015928149,0.535652817,62169593
result.106,0.153845903,0.001169685,0.069913339,0.466798964,65.17503249,0.979620188,0.008325933,0.008852815,0.008367537,0.850481133,51707852.93
result.107,0.054858612,0.001270635,0.223434237,1.746866043,61.32582866,1.671609964,0.005271121,0.014658168,0.036864855,0.875560329,56319286.8
result.108,0.180965141,0.004448297,0.135121948,0.476529794,62.76563022,1.066465569,0.007361073,0.012170127,0.038891112,0.41992915,68101403.25
result.109,0.412117347,0.001107362,0.186621112,1.305964134,87.44107455,3.630818434,0.003998781,0.006503909,0.033634248,0.703956969,46020268.79
result.110,0.295410943,0.003322507,0.299206722,0.949412183,67.21357871,5.189700837,0.008557285,0.019900105,0.022765779,0.923550272,62218312.97
result.111,0.305837764,0.000808608,0.06405704,1.796713328,60.00109747,6.459223939,0.004092421,0.018052403,0.034770751,0.280822892,67882722.98
result.112,0.405436693,6.83E-05,0.252237043,1.188430871,54.43302909,4.28904301,0.003192516,0.015274101,0.046882057,0.427728775,66646255.87
result.113,0.267072981,0.002418645,0.211198599,0.351046021,38.94519167,5.04773073,0.003385199,0.015936715,0.040728922,0.741061837,72087192.78
result.114,0.555642761,0.003087035,0.214951243,1.476724447,71.65997015,9.029033617,0.000154398,0.023669333,0.019875114,0.859851088,66949034.34
result.115,0.735974908,0.002900161,0.296363193,1.090531325,47.50997597,9.468857814,0.000973424,0.012121428,0.014440097,0.495502398,74438381.8
result.116,0.506557468,0.001332388,0.289675803,1.894498137,27.65692819,1.396885917,0.001438499,0.022138049,0.042475463,0.479288416,67408747.44
result.117,0.768492826,0.004008527,0.08994047,0.548017495,51.4377909,2.536169288,0.009254043,0.017269837,0.017179031,0.498160863,68936055.06
result.118,0.254310517,0.003715469,0.060042628,1.011170423,48.19464616,7.185901412,0.005071928,0.017079558,0.006754933,0.785726975,60440024.34
result.119,0.395617161,0.003147279,0.158310175,1.677852762,93.95250587,6.801230162,0.002854427,0.022479399,0.003296323,0.552716822,66596403.77
result.120,0.540803416,0.00486668,0.076735696,0.959772744,89.84586861,2.511159344,0.001788879,0.016022076,0.04554324,0.497309478,67784251.36
result.121,0.053539639,0.001740801,0.204376372,0.865439171,87.34721145,0.661235698,0.00351795,0.023068254,0.045082845,0.336866095,68525346.49
result.122,0.428418311,0.004339128,0.229901493,1.353593841,29.3568551,8.602006888,0.004118945,0.016597369,0.04965867,0.244351085,68258537.13
result.123,0.109581386,0.001244834,0.256080277,0.319796135,22.50289865,1.636838366,0.006691144,0.005827014,0.024874785,0.535590536,61656078.45
result.124,0.333168612,0.001482531,0.216334363,1.205100782,55.99005399,3.414291116,0.003304091,0.022148583,0.023469151,0.795048718,59787551.22
result.125,0.099237328,0.003239723,0.11396875,1.13855747,24.98491285,4.960935404,0.004259994,0.013012906,0.045716789,0.756003213,56433805.65
result.126,0.36241161,0.004395712,0.087270148,1.141729687,42.27722637,7.356838613,0.007108944,0.014100611,0.042589757,0.4453857,65114347.7
result.127,0.325875335,0.00029492,0.240241431,1.659137164,72.57624809,5.195725472,0.007487631,0.005041044,0.040932751,0.533831144,75344204.01
result.128,0.445519576,0.000591605,0.091731248,0.210820146,61.88641632,3.769955029,0.008064466,0.015489178,0.033630669,0.61829026,67817655.5
result.129,0.155512,0.001429223,0.010876994,1.225572535,27.64877483,8.476601951,0.007308253,0.009876068,0.043386492,0.390693145,64761759.34
result.130,0.510999753,0.004952918,0.28186325,0.879776724,23.71406555,3.916717437,0.005841201,0.008605618,0.036894645,0.831445471,67158311.96
result.131,0.679492855,0.003619321,0.119138078,1.02229464,96.27627702,0.827955178,0.001351929,0.014153841,0.012342219,0.837629085,68712459.57
result.132,0.486932453,0.004100746,0.254367456,1.927861196,28.6964008,0.18867385,0.006082436,0.021399061,0.047564241,0.364548218,67905209.76
result.133,0.783068178,0.001196766,0.033705182,0.490143129,81.81724036,6.301464276,0.001058351,0.018556266,0.002521823,0.423612754,68502788.51
result.134,0.099630407,0.002557475,0.109134178,1.696076865,28.40380367,3.526813628,0.001811157,0.021258384,0.046193799,0.459624002,67422084.67
result.135,0.138392398,0.000490391,0.241819028,0.150794207,22.14334793,6.894445355,0.000604067,0.01907146,0.006449055,0.289979263,74465267.25
result.136,0.183597364,0.001970198,0.19776929,1.623038823,26.46526264,5.836082471,0.007110507,0.024610889,0.016673047,0.295657833,69089898.96
result.137,0.195319069,0.000204487,0.120210659,0.948477669,40.77514144,4.333584085,0.001909972,0.01312369,0.043708726,0.772555118,62626961.66
result.138,0.512350645,0.003414844,0.195419615,1.298241822,88.28117514,3.178720588,0.000819709,0.010503469,0.042355767,0.635462101,67219498.74
result.139,0.619030101,0.002759043,0.199121048,1.197498354,69.26902438,8.470050614,0.004062687,0.011695952,0.026631715,0.928229878,63775050.96
result.140,0.401940384,0.000296452,0.062178375,1.223336411,61.14159109,8.650570605,0.006497677,0.009524033,0.031296565,0.759706854,61519767.42
result.141,0.216639405,0.002832219,0.213782788,1.827423008,23.66266401,2.363535206,0.003832984,0.015761137,0.048727142,0.205300813,67548387.02
result.142,0.775547058,0.000502902,0.205916097,1.71063374,44.96912537,5.648486429,0.006498715,0.010902376,0.049067112,0.715867713,58441910.31
result.143,0.696439187,0.004666305,0.106865769,1.472507103,73.01395074,1.470004695,0.001345012,0.014724945,0.024278962,0.266600622,67043257.62
result.144,0.116562505,0.003427898,0.15170556,0.306303364,37.25041747,7.988073115,0.008441505,0.015396653,0.017463091,0.586742887,69014672.79
result.145,0.520951157,0.001648845,0.041999499,1.809820013,83.06170534,5.293801983,0.006277561,0.019398025,0.012222829,0.859944789,58754762.78
result.146,0.438202374,0.002045167,0.190133335,0.381954362,74.59179565,7.130171834,0.000171581,0.00881913,0.031035458,0.74889504,74465267.25
result.147,0.361341611,0.001757407,0.157202061,1.72877609,34.63855039,5.476058524,0.003056419,0.005189554,0.02112283,0.286699712,58152006.69
result.148,0.195033494,0.004880658,0.172900601,0.754908652,21.59868887,3.240989386,0.006458313,0.022359982,0.031488748,0.823830915,62887424.37
result.149,0.156556838,0.002392987,0.160641668,0.72924815,92.58402612,2.774206196,0.006520497,0.019114784,0.019154701,0.903837681,59380311.97
result.150,0.133505747,0.001402983,0.251207106,0.840871443,46.30192345,5.640496722,0.006808653,0.020315081,0.045020845,0.990981441,43347341.41
result.151,0.558739789,0.003493189,0.089791522,1.1524665,20.91091305,6.555707979,0.0004405,0.007440688,0.030609218,0.463878997,59392749.11
result.152,0.280355585,0.003586003,0.287777222,1.692635341,38.46139383,4.737183531,0.006961117,0.019394557,0.01280405,0.73966515,60118049.02
result.153,0.669253391,0.000597415,0.214442417,0.16566518,55.72737982,2.137328646,0.006269957,0.008361057,0.014106536,0.924055591,74465267.25
result.154,0.085908489,0.004350441,0.202251889,0.57577248,97.46433178,5.87411727,0.007044674,0.02050792,0.045923011,0.653181464,68080109.61
result.155,0.221656683,0.004326376,0.147746448,1.778519222,74.4912871,4.384631515,0.000646445,0.016079402,0.006319126,0.408848971,65828046.57
result.156,0.536356579,0.0006716,0.124837995,1.416465851,44.82969839,5.686032731,0.000282829,0.023930508,0.016573728,0.247896665,69495284.63
result.157,0.162898626,0.003445237,0.206102275,0.374011872,70.0463137,3.224087415,0.00672638,0.016665524,0.045117953,0.845285012,70150444.5
result.158,0.585876645,0.000596759,0.253252857,0.467432267,47.93634381,1.78475553,0.004839421,0.016838796,0.016540133,0.226351276,74447076.39
result.159,0.546973148,0.001758931,0.205798499,1.664714537,35.05841052,8.993789915,0.002426126,0.009117486,0.042330677,0.212670724,64530974.68
result.160,0.244534996,0.004418616,0.275780777,1.14934677,29.15830299,9.465690599,0.002992437,0.021482604,0.03489873,0.340156353,68824253.96
result.161,0.561029894,0.001944663,0.275719017,0.7971765,43.23431723,1.514373249,0.005161743,0.019509704,0.016952973,0.574337376,67613317.75
result.162,0.541957552,0.000916863,0.274733853,1.697725441,78.67959812,2.430171269,0.007586349,0.024675552,0.031901532,0.444247885,68360729.5
result.163,0.115933029,0.00371838,0.045995783,1.834715548,95.14391104,8.806850653,0.004558389,0.011914004,0.034569882,0.294097047,65306788.77
result.164,0.127452647,0.00266606,0.053452364,0.502527647,58.20680676,5.379723433,0.002860373,0.022362402,0.014119959,0.900700464,63512034.11
result.165,0.744771475,0.00224711,0.196121126,0.561619409,40.20315701,4.748739643,0.006938146,0.021479318,0.012164721,0.321825304,71250215.55
result.166,0.777206593,0.002790356,0.203775547,0.533016069,61.26177482,7.960941176,0.009254379,0.018074604,0.038610752,0.809231505,72120274.23
result.167,0.597423832,0.003565547,0.297097066,0.560259707,57.30951492,9.179941614,0.003988189,0.014280247,0.016541607,0.906238077,74465267.25
result.168,0.169792933,0.00444827,0.07563867,1.60311312,25.22829566,7.116511929,0.006253483,0.007606215,0.043555771,0.830930726,50742394.16
result.169,0.127846037,0.001725589,0.083573624,1.673185753,56.17224155,0.374629801,0.002023209,0.009371267,0.028892584,0.868934165,46491825.09
result.170,0.755757281,0.003325282,0.142639976,1.598087127,76.36067016,1.558069489,0.007180525,0.005473754,0.017111302,0.935899549,53315189.23
result.171,0.726780028,0.004247866,0.176210582,1.798697674,81.2133242,3.772319911,0.001837519,0.015284257,0.019161361,0.500875025,66074085.59
result.172,0.785755056,0.002563214,0.275440437,0.355145567,88.16849748,9.040942347,0.007951979,0.019087038,0.04765101,0.319823019,74465267.25
result.173,0.658182341,0.002914215,0.291332666,0.236779139,82.0236608,3.886579427,0.009637209,0.013361271,0.020756447,0.542971202,74465267.25
result.174,0.467990758,0.004316459,0.135897404,0.456055492,70.39880598,6.749223826,0.009126515,0.017516426,0.004471166,0.870211294,70996579.33
result.175,0.475622885,0.004286293,0.280684683,1.201248626,44.65116998,0.533693441,0.00173057,0.011237786,0.02718149,0.324525012,67336675.43
result.176,0.428128139,0.000120794,0.222245709,1.284875838,29.81939644,4.104023193,0.002295206,0.009850695,0.007231361,0.482083369,64684386.52
result.177,0.2598341,0.002297813,0.03871178,1.607279812,56.08662121,1.725299407,0.005281787,0.012071107,0.014408292,0.945379751,43811133.37
result.178,0.548880688,0.001256847,0.057947433,1.526046302,27.74318693,0.685071525,0.009844445,0.006468594,0.010603454,0.444417589,64680176.38
result.179,0.653048329,0.004794904,0.216561726,0.393538852,74.20113131,8.000631758,0.008756662,0.007139022,0.036545669,0.673935734,74465267.25
result.180,0.431162615,0.001492162,0.192690113,1.58345375,59.79517089,3.60344278,0.001857725,0.006026471,0.047428549,0.651276424,48043458.41
result.181,0.561868901,0.000177677,0.088436459,0.515771936,85.66656241,9.383215788,0.000596604,0.0072468,0.039874362,0.382416947,64963368.75
result.182,0.64949208,0.004631865,0.028277805,1.599443363,65.79908054,8.311634844,0.006497344,0.023956584,0.001589167,0.984291505,57240432.76
result.183,0.788636849,0.003727754,0.175253795,0.73870181,47.52747132,8.192017171,0.000666649,0.018194322,0.020191012,0.50534238,74443958.43
result.184,0.767253112,0.001425734,0.27915808,0.784820913,50.78083077,6.593637286,0.00203451,0.00756825,0.033943287,0.442515835,74427716.88
result.185,0.092989956,0.003246422,0.179291607,1.675704169,54.30386649,7.646384181,0.008035179,0.018420969,0.035160811,0.815771109,56923122.45
result.186,0.739877109,0.000484164,0.130406549,0.394928085,76.7166635,9.891095358,0.003807782,0.005207385,0.047089596,0.288644052,74439830.58
result.187,0.768295969,0.003425714,0.083601174,1.847579595,42.35726805,8.084162329,0.00191842,0.023406715,0.001843981,0.928708661,52856611.46
result.188,0.757894018,0.001301415,0.019942982,1.015217627,42.81053495,9.913594731,0.003861583,0.019137044,0.036998428,0.685261406,66166305.38
result.189,0.437800194,0.004946319,0.032198249,0.455231731,93.36894998,2.755091089,0.009805213,0.017397162,0.033489058,0.763298658,69558034.18
result.190,0.104433948,0.004886026,0.223516723,0.693357698,27.46743547,0.431782838,0.00344406,0.005695547,0.0026972,0.510062908,62745748.19
result.191,0.322988449,0.004520961,0.20160206,1.976437508,45.64456284,0.554722605,0.002971405,0.00860853,0.013898051,0.223193421,62414537.65
result.192,0.223186931,0.003532961,0.02204385,1.148311788,51.11301042,2.571053558,0.007874243,0.005405819,0.02083604,0.416768633,56234228.66
result.193,0.359412179,0.004338929,0.064517626,1.611398209,85.58706095,5.625230848,0.008630956,0.006773144,0.043884914,0.488767376,58157580.1
result.194,0.644451456,0.000204487,0.108542662,0.184431681,21.77873429,6.788933761,0.009351234,0.007972857,0.047114448,0.407490233,65792976.83
result.195,0.381074892,0.002730322,0.271651511,1.939019945,52.73731725,8.649655723,0.00767599,0.018407942,0.019917054,0.207382125,68544937.76
result.196,0.450355635,0.002267044,0.251959637,0.109038876,30.83175505,2.840671365,0.001599244,0.005338183,0.016895614,0.85874462,74465267.25
result.197,0.098838092,0.000303327,0.171391659,0.243099786,65.24738368,8.980347247,0.008868331,0.008026661,0.035574679,0.202275388,66293582.36
